"","uniqueID","NDVI","PRI","NDWI","fname.x","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE","Date.y","LWC","Water_Pot","Leaf_T","Air_T","Delta_T","VPD","Genotype","Average_Thickness","Par_Total","Wind_Speed","ratio","Obs","Ci","Trmmol","Cond","Photo","QC","Plant_ID","date"
"14","b12-2016-07-06",0.785927042701963,-0.00219114938704648,0.0411754084217605,"b2_pop_b12_aci_mb_07_06_2016",80.03953272,132.2393684,1.002286603,5.682899765,4.025190592,0.672379637,"2016-07-06",0.951,-0.34,30.94444444,33.6,-2.65555556,6.608588267,"52-276",0.26,561.0308,2.302,0.605262515152787,1,216,3.35,0.138,12.8,-1,"b12",2016-07-06
"15","c14-2016-06-09",0.754512740278172,-0.00211513729919255,0.0516093074523021,"b2_pop_c14_aci_mb_06_09_2016",64.80543312,155.5503545,2.314639941,3.294196977,4.691544656,0.765024779,"2016-06-09",2.308,-0.3,31.83333333,30.99,0.84333333,5.652529837,"R-270",0.343333333,557.0929,1.132,0.416620285619471,1,291,4.43,0.356,16.1,-1,"c14",2016-06-09
"16","c14-2016-06-16",0.737463804826588,-0.0241401920778314,0.0466486344393904,"b2_pop_c14_aci_mb_06_16_2016",64.28766738,152.0058575,0.836212642,3.284603065,4.178142303,0.662896245,"2016-06-16",1.853,-0.6,31.22222222,30.91,0.31222222,6.983322907,"R-270",0.253333333,574.5063,3.072,0.422928882066272,1,240,7.73,0.229,15.9,1,"c14",2016-06-16
"17","c14-2016-06-24",0.750027277474816,-0.00329572783107933,0.0452138775307274,"b2_pop_c14_aci_mb_06_24_2016",52.03694315,113.3979456,1.606603831,1.333774455,1.670198439,0.288970033,"2016-06-24",1.767,-0.48,26.61111111,33.6,-6.98888889,6.418864133,"R-270",0.226666667,736.6464,2.966,0.458887882621394,1,280,4.88,0.32,12.4,-1,"c14",2016-06-24
"18","c14-2016-06-28",0.765812673098215,0.00388309268559616,0.0468085540749316,"b2_pop_c14_aci_dl 06_28_2016",70.19369614,132.4242952,1.028393051,3.001561113,2.741765221,0.475511982,"2016-06-28",1.839,-0.42,34.94444444,35.55,-0.60555556,6.641062354,"R-270",0.236666667,361.1764,1.894,0.53006660170618,1,223,4.68,0.159,13.6,1,"c14",2016-06-28
"19","c14-2016-07-06",0.792992039515504,0.000473568507795274,0.045660251648022,"b2_pop_c14_aci_mb_07_06_2016",94.573129,142.4681009,0.215301292,9.76147517,6.5375684,1.093477391,"2016-07-06",0.854,-0.32,25.11111111,33.6,-8.488888889,6.608588267,"R-270",0.25,561.0308,2.302,0.663819678949619,1,285,7,0.557,22.8,-1,"c14",2016-07-06
"20","e03-2016-06-09",0.820221048482356,0.00467652910984445,0.0499059230016725,"b2_pop_e03_aci_mb_06_09_2016",94.41401477,169.368191,1.551260825,1.825962011,1.888600415,0.298753207,"2016-06-09",1.422,-0.51,31.5,30.99,0.51,5.652529837,"52-276",0.356666667,557.0929,1.132,0.557448327295413,1,263,7.74,0.388,21.2,1,"e03",2016-06-09
"21","e03-2016-06-16",0.798558487407857,-0.0221594335678535,0.0557325135464344,"b2_pop_e03_aci_af_06_16_2016",65.09016376,131.3277267,2.234098793,1.816106101,1.967372004,0.351493137,"2016-06-16",1.735,-0.95,26.5,30.91,-4.41,6.983322907,"52-276",0.306666667,574.5063,3.072,0.495631542520259,1,300,7.02,0.433,16.1,1,"e03",2016-06-16
"22","e03-2016-06-24",0.788260279241615,0.0192749531294341,0.0495130993124501,"b2_pop_e03_aci_mb_06_24_2016",84.41668793,159.5129081,1.243504602,8.308523902,7.662823663,1.25286455,"2016-06-24",1.3,-1.2,28.44444444,33.6,-5.15555556,6.418864133,"52-276",0.313333333,736.6464,2.966,0.529215402913214,1,267,5.94,0.597,19.6,-1,"e03",2016-06-24
"23","e03-2016-06-28",0.794474063044229,-0.00277547814450092,0.047902594964346,"b2_pop_e03_aci_af_06_28_2016",91.67822284,157.9330104,0.568709695,15.0202481,12.43206512,2.038328165,"2016-06-28",1.244,-0.49,31.83333333,35.55,-3.71666667,6.641062354,"52-276",0.28,361.1764,1.894,0.580488034818084,1,234,7.27,0.296,21.2,1,"e03",2016-06-28
"24","e03-2016-07-06",0.765875841226844,0.00393516607940759,0.0410366582231235,"b2_pop_e03_aci_mb_07_06_2016",65.60623088,112.1775286,1.06402972,2.457046177,2.070695166,0.363662162,"2016-07-06",1.135,-0.42,32.61111111,33.6,-0.98888889,6.608588267,"52-276",0.23,561.0308,2.302,0.58484289767104,1,233,3.63,0.163,13.4,1,"e03",2016-07-06
