"","X","fname","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE","Date","Plant_ID","uniqueID"
"37",37,"b2_pop_e10_aci_mb_06_15_2016",83.66163449,173.5772717,1.862591581,2.304586026,2.656235936,0.418012306,2016-06-15,"e10","e10-2016-06-15"
"38",38,"b2_pop_e10_aci_mb_06_27_2016",91.03622493,147.6834808,0.900153261,6.092283305,4.258039822,0.730266027,2016-06-27,"e10","e10-2016-06-27"
"39",39,"b2_pop_e10_aci_mb_06_30_2016",44.36333868,112.1184183,2.132404559,1.716557054,2.86423901,0.446590974,2016-06-30,"e10","e10-2016-06-30"
"40",40,"b2_pop_e10_aci_mb_07_05_2016",70.71315634,163.4440449,2.153969531,2.384257306,3.323209579,0.52609865,2016-07-05,"e10","e10-2016-07-05"
"41",41,"b2_pop_f05_aci_dl_06_23_2016",77.25354765,138.0261471,0.877436309,2.138995395,2.257103995,0.379902786,2016-06-23,"f05","f05-2016-06-23"
"42",42,"b2_pop_f05_aci_dl_06_27_2016",49.98256148,89.20183563,1.510077105,2.553646922,2.283679742,0.438351751,2016-06-27,"f05","f05-2016-06-27"
"43",43,"b2_pop_f05_aci_mb_06_08_2016",93.04693731,178.1668282,1.740081805,5.588344256,5.023328617,0.782597628,2016-06-08,"f05","f05-2016-06-08"
"44",44,"b2_pop_f05_aci_mb_06_15_2016",52.43745395,156.6350699,2.345968931,1.988230853,4.694858176,0.641297635,2016-06-15,"f05","f05-2016-06-15"
"45",45,"b2_pop_f05_aci_mb_06_30_2016",43.96367878,102.5742437,1.516560252,1.515032367,2.363541436,0.377710655,2016-06-30,"f05","f05-2016-06-30"
"46",46,"b2_pop_f05_aci_mb_07_05_2016",75.61323068,138.272677,1.327845435,3.185563504,2.971419085,0.517900331,2016-07-05,"f05","f05-2016-07-05"
"47",47,"b2_pop_f08_aci_dl_06_27_2016",82.68853257,141.8460053,1.164909113,10.40614696,9.278190229,1.575861385,2016-06-27,"f08","f08-2016-06-27"
"48",48,"b2_pop_f08_aci_dl_06_28_2016",62.71660057,110.771487,1.315759413,2.187960366,2.023919698,0.36607858,2016-06-28,"f08","f08-2016-06-28"
