"","filename","ID","date","observation","PRI","NDVI","NDWI"
"323","b2popmlb_E03_Leaf_6-01-201600001.asd.txt","E03",2016-06-01,"01",0.0118339687055192,0.812019971245582,0.0553627322439226
"324","b2popmlb_E03_Leaf_6-01-201600002.asd.txt","E03",2016-06-01,"02",0.0125430682720554,0.812435068489053,0.0547796158537265
"325","b2popmlb_E03_Leaf_6-01-201600003.asd.txt","E03",2016-06-01,"03",0.00362115144061304,0.814070459908096,0.059715725835912
"326","b2popmlb_E03_Leaf_6-01-201600004.asd.txt","E03",2016-06-01,"04",0.00342442173432609,0.815233470029631,0.0597176941146884
"327","b2popmlb_E03_Leaf_6-01-201600005.asd.txt","E03",2016-06-01,"05",0.00403666966027042,0.815351118578299,0.0583380516856844
"328","b2popmlb_E03_Leaf_6-01-201600006.asd.txt","E03",2016-06-01,"06",-0.00447570607895987,0.806926952186542,0.0555470754368942
"329","b2popmlb_E03_Leaf_6-01-201600007.asd.txt","E03",2016-06-01,"07",-0.00413538977879126,0.807385812135405,0.0554861480458085
"330","b2popmlb_E03_Leaf_6-01-201600008.asd.txt","E03",2016-06-01,"08",-0.0034152873890523,0.806953980418715,0.0549092364015504
"331","b2popmlb_E03_leaf_6-09-201600000.asd.txt","E03",2016-06-09,"00",0.00781186486538052,0.82785514028404,0.0497703923450429
"332","b2popmlb_E03_leaf_6-09-201600001.asd.txt","E03",2016-06-09,"01",0.00830613053820949,0.829739694256942,0.0489772542211005
"333","b2popmlb_E03_leaf_6-09-201600002.asd.txt","E03",2016-06-09,"02",0.00899063244065168,0.829618991278056,0.0485475607892078
"334","b2popmlb_E03_leaf_6-09-201600003.asd.txt","E03",2016-06-09,"03",0.00731121498287475,0.817895329271722,0.0516684575308028
"335","b2popmlb_E03_leaf_6-09-201600004.asd.txt","E03",2016-06-09,"04",0.00676634962620945,0.818489737163434,0.0513828824540876
"336","b2popmlb_E03_leaf_6-09-201600005.asd.txt","E03",2016-06-09,"05",0.0072054777947346,0.817476945977531,0.0505765824630111
